County_Code,Age_Group,Probability,COMMUNITY,UNC,LARGE,SMALL,LT,NH
45,2,0.0008323170000380045,0,0.0,0.00018551883308127171,0.0004818843744873495,0,0.00016491379246938318
47,0,0.0001729706254367666,0,0.0,7.108261831826311e-05,0.00010188800711850348,0,0.0
47,1,0.00022373263625503944,0,0.0,8.172870916762793e-05,0.0001420039270874115,0,0.0
47,2,0.0006851245440032713,0,0.0,0.00016647591065414234,0.0003537348408797458,0,0.00016491379246938318
49,0,0.0001547881710308488,0,1.7616980263654367e-06,2.614257950682513e-05,0.00012688389349765824,0,0.0
49,1,0.00026760022627933945,0,2.6860453882540625e-06,3.848627106052146e-05,0.00022642790983056394,0,0.0
49,2,0.00075401225883241,0,5.32141236389924e-06,7.123661724718786e-05,0.0005125404367519396,0,0.00016491379246938318
51,0,0.00017594524230691073,0,8.587319953792184e-06,0.00015561281254099097,1.1745109812127595e-05,0,0.0
51,1,0.00032283544578690256,0,1.6063223315297527e-05,0.0002810579811216052,2.5714241349999778e-05,0,0.0
51,2,0.0010406701864685642,0,4.566846814039194e-05,0.0007465580044559719,8.352992140281711e-05,0,0.00016491379246938318
53,0,2.9168508652773163e-05,0,0.0,0.0,2.9168508652773163e-05,0,0.0
53,1,4.072220589556144e-05,0,0.0,0.0,4.072220589556144e-05,0,0.0
53,2,0.0003034042828880298,0,0.0,0.0,0.00013849049041864662,0,0.00016491379246938318
55,0,5.285682918523978e-05,0,0.0,0.0,5.285682918523978e-05,0,0.0
55,1,5.939892751687463e-05,0,0.0,0.0,5.939892751687463e-05,0,0.0
55,2,0.0003362268946221784,0,0.0,0.0,0.0001713131021527952,0,0.00016491379246938318
57,0,0.00014794157119147,0,2.145490811575663e-05,6.874613607053853e-05,5.774052700517484e-05,0,0.0
57,1,0.00019695657985435526,0,2.718995050527189e-05,8.412122124234048e-05,8.564540810674291e-05,0,0.0
57,2,0.0006705583890035797,0,6.751343232410886e-05,0.0001951512001058345,0.00024297996410425318,0,0.00016491379246938318
59,0,0.00019808494225124942,0,0.0,0.0001694150263893569,2.8669915861892516e-05,0,0.0
59,1,0.00021250243805637646,0,0.0,0.00017633076156894583,3.617167648743062e-05,0,0.0
59,2,0.0006327337230269791,0,0.0,0.0003739969305212497,9.382300003634622e-05,0,0.00016491379246938318
61,0,0.00014143677590597472,0,1.1274128172745111e-05,6.659781748671211e-05,6.356483024651748e-05,0,0.0
61,1,0.00020852692060509666,0,1.56756444368996e-05,8.94083233186045e-05,0.00010344295284959258,0,0.0
61,2,0.0006524404113943978,0,3.51530376365408e-05,0.00018732653172605704,0.0002650470495624168,0,0.00016491379246938318
63,0,0.00013055667044312982,0,1.5682456672368066e-05,7.582107648179085e-05,3.905313728897091e-05,0,0.0
63,1,0.00023051200549474912,0,2.6857278582449536e-05,0.00012537570015215278,7.827902676014682e-05,0,0.0
63,2,0.0008421536466880217,0,7.791821067695657e-05,0.00033983978853422596,0.00025948185500745594,0,0.00016491379246938318
65,0,0.00019025413408872303,0,6.771661355164413e-05,6.09596793693126e-05,6.157784116776628e-05,0,0.0
65,1,0.0002605589004585125,0,8.882115402403183e-05,7.720392352504474e-05,9.453382290943593e-05,0,0.0
65,2,0.0008155271457872075,0,0.00021485462236767088,0.00017448236875489955,0.000261276362195254,0,0.00016491379246938318
67,0,0.00018141591812881496,0,2.022166164420558e-06,0.00017399234298399443,5.401408980399951e-06,0,0.0
67,1,0.00025125265619324003,0,2.881177867562606e-06,0.00023936402802754884,9.007450298128594e-06,0,0.0
67,2,0.0007621918578242107,0,7.266874948550575e-06,0.0005640536163980516,2.5957574008225323e-05,0,0.00016491379246938318
69,0,0.00012552425306783504,0,2.85701392141145e-05,7.177582843113273e-05,2.517828542258782e-05,0,0.0
69,1,0.00016382116616243643,0,3.6754351527881505e-05,8.915591048369805e-05,3.7910904150856894e-05,0,0.0
69,2,0.0006171273045875731,0,0.00010173831587409678,0.00023057371965533972,0.00011990147658875336,0,0.00016491379246938318
71,0,0.00022884540474790745,0,0.0,0.00020938435001843886,1.9461054729468593e-05,0,0.0
71,1,0.00029771811526661714,0,0.0,0.00026757215413037664,3.0145961136240522e-05,0,0.0
71,2,0.0009130499846869786,0,0.0,0.0006575397844383738,9.059640777922167e-05,0,0.00016491379246938318
73,0,5.1748125834083855e-05,0,0.0,0.0,5.1748125834083855e-05,0,0.0
73,1,5.9080107583877e-05,0,0.0,0.0,5.9080107583877e-05,0,0.0
73,2,0.00034659358214224887,0,0.0,0.0,0.0001816797896728657,0,0.00016491379246938318
75,0,0.00011608995297534053,0,0.0,0.0,0.00011608995297534053,0,0.0
75,1,0.00012462271755302908,0,0.0,0.0,0.00012462271755302908,0,0.0
75,2,0.0004231068725303552,0,0.0,0.0,0.000258193080060972,0,0.00016491379246938318
77,0,0.00013540694491806564,0,0.0,5.364652318646923e-05,8.176042173159641e-05,0,0.0
77,1,0.00018581429260269004,0,0.0,6.525688062824353e-05,0.00012055741197444649,0,0.0
77,2,0.000756618454419874,0,0.0,0.00018154509412414706,0.0004101595678263439,0,0.00016491379246938318
79,0,0.00017234959441364715,0,3.161807760930708e-05,0.00014073151680434008,0.0,0,0.0
79,1,0.0002191471115960908,0,4.136682407029755e-05,0.00017778028752579324,0.0,0,0.0
79,2,0.0006636695615393031,0,9.944733909296039e-05,0.0003993084299769595,0.0,0,0.00016491379246938318
81,0,0.00017774565960535622,0,3.328466636791396e-05,0.00014217767148634678,2.283321751095468e-06,0,0.0
81,1,0.00025315416671676876,0,4.863944800471942e-05,0.00020060943019065413,3.9052885213951975e-06,0,0.0
81,2,0.0008065804699220218,0,0.0001297565009117072,0.0005000065793388012,1.1903597202130114e-05,0,0.00016491379246938318
83,0,0.00020196579200694884,0,3.2718222455128375e-05,5.379811452625385e-05,0.00011544945502556662,0,0.0
